country_id,city_id,city_name,city_name_local,population,is_capital,coastal_flag,mountain_flag,tourism_score_raw,city_description,created_at,updated_at
1,1,Tirana,TiranŽ,"530,137",Yes,No,Yes,7.8,Colorful capital with a mix of Ottoman and Soviet history.,3/11/2026,
1,2,Saranda,SarandŽ,"41,173",No,Yes,Yes,8.2,The gateway to the Albanian Riviera with stunning beaches.,3/11/2026,
1,3,GjirokastŽr,Gjirokastra,"25,301",FALSE,No,Yes,8.5,"(Gem) UNESCO ""Stone City"" with Ottoman-era fortress houses.",3/11/2026,
2,4,Vienna,Wien,"1,973,403",Yes,No,No,9.2,Imperial elegance known for classical music and coffee houses.,3/11/2026,
2,5,Salzburg,Salzburg,"156,872",FALSE,No,Yes,9.4,"Birthplace of Mozart, famous for Baroque architecture and Alps.",3/11/2026,
2,6,Hallstatt,Hallstatt,780,No,No,Yes,9.7,(Gem) Fairytale Alpine village reflected in a crystal lake.,3/11/2026,
3,7,Brussels,Bruxelles,"1,222,637",Yes,No,No,8.5,"The heart of Europe, famous for chocolate, beer, and art.",3/11/2026,
3,8,Bruges,Brugge,"118,509",No,No,No,9.6,"Medieval ""Venice of the North"" with perfectly preserved canals.",3/11/2026,
3,9,Ghent,Gent,"263,927",No,No,No,8.9,(Gem) Vibrant university city with a castle and a cool vibe.,3/11/2026,
44,10,Sarajevo,Sarajevo,"275,524",Yes,No,Yes,7.5,Historic meeting point of East and West in a mountain valley.,3/11/2026,
4,11,Mostar,Mostar,"105,797",No,No,Yes,9.1,Famous for its iconic Stari Most (Old Bridge) and Ottoman style.,3/11/2026,
4,12,Trebinje,Trebinje,"31,433",No,No,Yes,8,(Gem) Charming town with old stone bridges and wine culture.,3/11/2026,
5,13,Zagreb,Zagreb,"767,131",TRUE,No,Yes,8,Vibrant city with a mix of Austro-Hungarian and socialist charm.,3/11/2026,
5,14,Dubrovnik,Dubrovnik,"42,615",No,Yes,Yes,9.8,"The Pearl of the Adriatic, famous for its massive stone walls.",3/11/2026,
5,15,Rovinj,Rovinj,"14,294",No,Yes,No,9.1,(Gem) Venetian-style colorful town on the Istrian peninsula.,3/11/2026,
6,16,Prague,Praha,"1,335,084",Yes,No,No,9.5,"The City of a Hundred Spires, a Gothic and Baroque masterpiece.",3/11/2026,
6,17,Karlovy Vary,Karlovy Vary,"48,319",No,No,Yes,8.6,Famous spa town with elegant colonnades and thermal springs.,3/11/2026,
6,18,?eskż Krumlov,?eskż Krumlov,"12,788",No,No,No,8.9,(Gem) Fairytale town with a massive castle and river loop.,3/11/2026,
7,19,Copenhagen,KÝbenhavn,"638,117",TRUE,Yes,No,8.8,Sustainable design hub with a world-famous harbor and hygge.,3/11/2026,
7,20,Aarhus,Aarhus,"280,534",No,Yes,No,8.4,Dynamic coastal city with a mix of history and modern art.,3/11/2026,
7,21,Skagen,Skagen,"7,547",No,Yes,No,8.2,(Gem) Fishing village where the Baltic and North Seas meet.,3/11/2026,
8,22,Helsinki,Helsinki,"658,457",Yes,Yes,No,8.2,Clean-lined coastal city known for design and seaside life.,3/11/2026,
8,23,Rovaniemi,Rovaniemi,"64,150",0,No,Yes,9.1,Official hometown of Santa Claus in the heart of Lapland.,3/11/2026,
8,24,Porvoo,Porvoo,"50,619",No,Yes,No,8.5,(Gem) Historic town famous for its iconic red riverside houses.,3/11/2026,
9,25,Paris,Paris,"2,148,271",Yes,No,No,9.8,"The global center for art, fashion, and culinary excellence.",3/11/2026,
9,26,Nice,Nice,"342,669",No,Yes,Yes,9.2,Glamorous hub of the French Riviera with azure waters.,3/11/2026,
9,27,Lyon,Lyon,"513,275",No,No,No,8.8,Gastronomic capital of France with a rich Roman history.,3/11/2026,
9,28,Annecy,Annecy,"131,640",No,No,Yes,9.4,"(Gem) ""Venice of the Alps"" with turquoise water and canals.",3/11/2026,
9,29,Colmar,Colmar,"70,284",No,No,No,9.5,(Gem) Half-timbered houses that look like a Disney village.,3/11/2026,
10,30,Berlin,Berlin,"3,755,251",1,No,No,9,Dynamic capital with a gritty history and cutting-edge culture.,3/11/2026,
11,31,Munich,MŁnchen,"1,488,202",0,No,Yes,9.5,"Famous for Oktoberfest, beer halls, and Alpine proximity.",3/11/2026,
10,32,Hamburg,Hamburg,"1,841,179",No,Yes,No,8.7,Major port city with stunning canals and nightlife.,3/11/2026,
10,33,Rothenburg,Rothenburg,"11,243",No,No,No,9.3,(Gem) Perfectly preserved medieval town on the Romantic Road.,3/11/2026,
11,34,Athens,AthŪna,"664,046",Yes,Yes,Yes,9.1,"Cradle of Western civilization, dominated by the Parthenon.",3/11/2026,
11,35,Santorini,OŪa,"1,545",No,Yes,Yes,9.9,Iconic whitewashed houses and blue domes with volcanic views.,3/11/2026,
11,36,Meteora,Kalabaka,"12,000",No,No,Yes,9.6,(Gem) Incredible monasteries perched on top of giant rocks.,3/11/2026,
12,37,Budapest,Budapest,"1,752,286",Yes,No,No,8.9,Stunning Danube riverfront famous for its thermal baths.,3/11/2026,
12,38,Debrecen,Debrecen,"202,402",No,No,No,7.6,"The ""Calvinist Rome"" with a rich history and Great Forest.",3/11/2026,
12,39,Szentendre,Szentendre,"25,324",No,No,No,8.3,(Gem) Riverside artists' town with colorful houses and galleries.,3/11/2026,
13,40,Rome,Roma,"2,872,800",Yes,No,Yes,9.7,"The Eternal City, home to the Colosseum and Vatican.",3/11/2026,
13,41,Florence,Firenze,"382,258",No,No,No,9.7,"The cradle of the Renaissance, home to world-class art.",3/11/2026,
13,42,Venice,Venezia,"258,685",No,Yes,No,9.8,"Unique city of canals, gondolas, and Gothic palaces.",3/11/2026,
13,43,Matera,Matera,"60,403",No,No,Yes,9.2,(Gem) Ancient cave dwellings (Sassi) carved into limestone.,3/11/2026,
13,44,Lucca,Lucca,"89,243",No,No,No,8.6,"(Gem) Renaissance-walled city with quiet, tree-lined towers.",3/11/2026,
14,45,Valletta,Valletta,"5,827",Yes,Yes,No,8.4,Fortified Baroque city on a Mediterranean island.,3/11/2026,
14,45,Valletta,Valletta,"5,827",Yes,Yes,No,8.4,Fortified Baroque city on a Mediterranean island.,3/11/2026,
14,46,Sliema,Sliema,"22,591",No,Yes,No,8.1,Vibrant coastal hub known for shopping and nightlife.,3/11/2026,
14,47,Mdina,Mdina,300,No,No,No,8.8,"(Gem) ""The Silent City,"" a medieval walled hilltop gem.",3/11/2026,
15,48,Podgorica,Podgorica,"150,977",Yes,No,Yes,6.8,Modern administrative center surrounded by rugged mountains.,3/11/2026,
15,49,Budva,Budva,"13,338",No,Yes,Yes,9,Famous for its sandy beaches and historic Old Town.,3/11/2026,
15,50,Kotor,Kotor,"13,510",No,Yes,Yes,9.5,(Gem) UNESCO medieval town set in a fjord-like bay.,3/11/2026,
16,51,Amsterdam,Amsterdam,"872,757",Yes,Yes,No,9.3,Canal-lined cultural hub with a liberal atmosphere.,3/11/2026,
16,52,Rotterdam,Rotterdam,"651,629",No,Yes,No,8.3,"Known for bold, modern architecture and the world's largest port.",3/11/2026,
16,53,Giethoorn,Giethoorn,"2,620",No,No,No,9,"(Gem) ""Little Venice"" with no roads, only canals and boats.",3/11/2026,
17,54,Skopje,Skopje,"526,502",Yes,No,Yes,7.1,City of statues and old Ottoman bazaars in the Balkans.,3/11/2026,
17,55,Ohrid,Ohrid,"42,033",No,Yes,Yes,8.9,Ancient lakeside city with 365 historic churches.,3/11/2026,
17,56,Bitola,Bitola,"74,550",No,No,Yes,7.8,"(Gem) The ""City of Consuls"" with neoclassical architecture.",3/11/2026,
18,57,Oslo,Oslo,"709,037",Yes,Yes,Yes,8.6,"Gateway to the fjords, blending modern art with nature.",3/11/2026,
18,58,Bergen,Bergen,"289,330",No,Yes,Yes,9.3,Famous for the colorful Bryggen wharf and seven mountains.,3/11/2026,
18,59,Ňlesund,Ňlesund,"66,258",No,Yes,Yes,9.1,(Gem) Unique Art Nouveau city built across several islands.,3/11/2026,
19,60,Warsaw,Warszawa,"1,794,166",Yes,No,No,8.3,Resilient metropolis with a meticulously rebuilt Old Town.,3/11/2026,
19,61,Krakow,Krakůw,"782,137",No,No,No,9.5,Cultural heart with a massive medieval market square.,3/11/2026,
19,62,Wroclaw,Wroc?aw,"641,928",No,No,No,8.8,(Gem) City of bridges and hundreds of hidden bronze gnomes.,3/11/2026,
20,63,Lisbon,Lisboa,"504,718",Yes,Yes,No,9,Sun-drenched coastal capital known for Fado and hills.,3/11/2026,
20,64,Porto,Porto,"231,800",No,Yes,No,9.4,Riverside city famous for Port wine and tiled bridges.,3/11/2026,
20,64,Porto,Porto,"231,800",No,Yes,No,9.4,Riverside city famous for Port wine and tiled bridges.,3/11/2026,
20,64,Porto,Porto,"231,800",No,Yes,No,9.4,Riverside city famous for Port wine and tiled bridges.,3/11/2026,
20,65,Sintra,Sintra,"377,835",No,No,Yes,9.6,(Gem) Fairytale town of colorful palaces and misty forests.,3/11/2026,
21,66,Belgrade,Beograd,"1,166,763",Yes,No,No,7.9,Energetic Balkan city where the Danube and Sava meet.,3/11/2026,
21,67,Niö,Niö,"260,237",No,No,Yes,7.4,"One of the oldest cities in the Balkans, birth of Constantine.",3/11/2026,
21,68,Novi Sad,Novi Sad,"277,522",No,No,No,8.4,"(Gem) The ""Serbian Athens"" with a massive riverside fortress.",3/11/2026,
22,69,Ljubljana,Ljubljana,"295,504",Yes,No,Yes,8.1,"Charming, green city with a castle overlooking the center.",3/11/2026,
22,70,Bled,Bled,"8,171",No,No,Yes,9.5,Iconic lake with a church on an island and a cliffside castle.,3/11/2026,
22,71,Piran,Piran,"4,000",No,Yes,No,9,(Gem) Medieval Venetian town on the tip of a peninsula.,3/11/2026,
23,72,Madrid,Madrid,"3,223,334",Yes,No,No,9.1,Golden triangle of art galleries and a lively social scene.,3/11/2026,
23,73,Barcelona,Barcelona,"1,620,343",No,Yes,Yes,9.8,Gaudiís architectural wonderland set against the Mediterranean.,3/11/2026,
23,74,Seville,Sevilla,"688,711",No,No,No,9.5,"The heart of Andalusia, famous for Flamenco and the Alcazar.",3/11/2026,
23,75,Valencia,ValŤncia,"791,413",No,Yes,No,8.8,"Modern City of Arts and Sciences, famous for paella.",3/11/2026,
23,76,Ronda,Ronda,"33,730",No,No,Yes,9.4,(Gem) Spectacular white town split by a massive 120m gorge.,3/11/2026,
24,77,Stockholm,Stockholm,"975,551",Yes,Yes,No,8.7,"Venice of the North, built on fourteen islands.",3/11/2026,
24,78,Gothenburg,GŲteborg,"583,056",No,Yes,No,8.4,A friendly maritime city known for seafood and canals.,3/11/2026,
24,79,Visby,Visby,"24,330",No,Yes,No,9,(Gem) UNESCO medieval walled town on the island of Gotland.,3/11/2026,
25,80,Bern,Bern,"133,798",Yes,No,Yes,8.4,Medieval UNESCO old town nestled in a river loop.,3/11/2026,
25,81,Lucerne,Luzern,"82,922",No,No,Yes,9.5,Quintessential Swiss town on a lake with Alpine backdrop.,3/11/2026,
25,82,Zermatt,Zermatt,"5,820",No,No,Yes,9.7,(Gem) Car-free village at the foot of the Matterhorn peak.,3/11/2026,
26,83,London,London,"8,982,000",Yes,No,No,9.9,Global financial and cultural titan with deep royal roots.,3/11/2026,
26,84,Edinburgh,Edinburgh,"548,000",No,Yes,Yes,9.6,Scotland's historic capital with its famous castle and festivals.,3/11/2026,
26,85,Bath,Bath,"101,106",No,No,No,9.2,Famous for its Roman-built baths and Georgian architecture.,3/11/2026,
26,86,York,York,"210,618",0,No,No,9.3,"(Gem) Viking history and narrow ""Shambles"" medieval street.",3/11/2026,
