country_id,country_name,country_code,subregion,capital_city,currency_code,currency_name,language_main,population,area_km2,avg_safety_score,visa_requirement_category,image_url1,image_url2,country_short_description,fun_fact,is_active,created_at,updated_at
1,Albania,AL,Southeast Europe,Tirana,ALL,Albanian Lek,Albanian,2751025,"28,748",55.63,No,,,"Albania is a mountainous Balkan country in Southeast Europe, bordered by the Adriatic and Ionian Seas. Known for its stunning coastal scenery, Ottoman-era towns like Berat, and rugged northern Alps, it offers a mix of Mediterranean culture and history. ","Albania is known for having over 750,000 cold-war bunkers, which are now used as cafes, museums, and homes. Additionally, Albanians shake their heads for ""yes"" and nod for ""no,"" and the country has no McDonald's. It is also famously known as ""Shqipëria,"" or the ""Land of Eagles"". Albania has one of the highest numbers of coffee shops per capita in the world.",1,3/11/2026,
2,Austria,AD,Central Europe,Vienna,EUR,Euro,German,"9,108,571","83,879",70.67,Yes,,,"Austria is a landlocked, primarily mountainous country (Alps) in Central Europe, known for its rich musical heritage, Baroque architecture, and high quality of life.","Austria is home to the world's oldest continuously operating zoo (Schönbrunn Zoo, est. 1752) and the oldest restaurant (Stiftskeller St. Peter, dating to 803 AD). It also boasts the largest ice cave on Earth, the 26-mile-long Eisriesenwelt, and over 60% of the country is covered by the Alps. When toasting with alcohol, it is considered bad luck not to maintain direct eye contact with the person. Known as the ""homeland of music,"" Austria is the birthplace of Mozart, Strauss, Schubert, and Haydn.",1,3/11/2026,
3,Belgium,BE,Northwestern Europe,Brussels,EUR,EURO,"Dutch, French and German","11,772,164","30,689",50.52,Yes,,,"Belgium is a small, densely populated Western European country known as the ""heart of Europe"" and headquarters for the EU and NATO. It features a rich cultural heritage, three official languages (Dutch, French, German), and a federal structure divided into Flanders, Wallonia, and the Brussels-Capital Region.","Belgium produces over 220,000 tons of chocolate annually, with Brussels Airport being the world's largest chocolate sales point. French fries were actually invented in Belgium. There are over 1,100–1,500 types of Belgian beer, often served in a specifically matching glass. The Manneken Pis, a statue of a peeing boy, is a national symbol. Belgians are among the tallest people in the world.",1,3/11/2026,
4,Bosnia and Herzegovina,,Southeast Europe,Sarajevo,BAM,Convertible Mark,Bosnian,"3,114,242","51,209",59.1,FALSE,,,"Bosnia and Herzegovina is a culturally diverse Balkan nation in Southeast Europe known for its mountainous terrain, Ottoman-era history, and as a meeting point of East and West. The capital, Sarajevo, features a blend of architectural styles, while the country offers stunning nature, including the Dinaric Alps and over 200 waterfalls.","The country has a unique tripartite presidency, where three members (one Bosniak, one Serb, and one Croat) rotate the role of chairman every eight months. Bosnia and Herzegovina has a very small Adriatic coastline, only about 20 km (12 miles) long, near the town of Neum. The country is home to Peru?ica, one of the last remaining primeval forests in Europe, located within Sutjeska National Park.",1,3/11/2026,
5,Croatia ,HR,Southeast Europe,Zagreb,HRK,Croatian kuna,Croatian,"3,822,345","56,594",75.76,Yes,,,"Croatia is a stunning Central/Southeast European country on the Adriatic Sea, known for its 1,000+ islands, historic coastal cities like Dubrovnik, and diverse landscapes ranging from rocky beaches to mountain forests. A former Yugoslav republic that became an EU member in 2013, it offers a rich blend of Roman, Venetian, and Central European culture.","The modern necktie originates from Croatian soldiers in the 17th century, known as cravate. Croatia has 1,246 islands, islets, and reefs, making its coastline one of the most fragmented in Europe. Dubrovnik was used as King's Landing, and the Fortress of Klis served as Meereen. Galešnjak is a famous, naturally heart-shaped island. The world’s first torpedo was constructed in Rijeka by Ivan Lupis in the 19th century. The town of Hum, in Istria, is often cited as the smallest town in the world. The island of Hvar is the sunniest spot in Europe, with over 2,800 hours of sunlight annually.",1,3/11/2026,
6,Czechia,CZ,Central Europe,Prague,CZK,Czech koruna,Czech,"10,520,550","78,871",73.26,Yes,,,"Czechia, officially the Czech Republic, is a landlocked Central European country bordered by Germany, Austria, Slovakia, and Poland. Known for its rich history, stunning, well-preserved architecture (including Prague Castle and Charles Bridge), and beer culture, it features a temperate, hilly landscape and serves as a major industrial hub in the region.","The Czech Republic is a Central European gem renowned as the world's top beer consumer (~160+ liters per capita annually) and for having the highest density of castles in Europe, with over 2,000. It boasts a rich history, featuring Prague's 15th-century astronomical clock and the 1348 Charles University. The word ""robot"" was introduced by Czech writer Karel ?apek in his 1920 play R.U.R.. Over 70% of the population goes mushroom picking annually.",1,3/11/2026,
6,Czech Republic,CZ,Central Europe,Prague,CZK,Czech koruna,Czech,"10,520,550","78,871",73.26,Yes,,,"Czechia, officially the Czech Republic, is a landlocked Central European country bordered by Germany, Austria, Slovakia, and Poland. Known for its rich history, stunning, well-preserved architecture (including Prague Castle and Charles Bridge), and beer culture, it features a temperate, hilly landscape and serves as a major industrial hub in the region.","The Czech Republic is a Central European gem renowned as the world's top beer consumer (~160+ liters per capita annually) and for having the highest density of castles in Europe, with over 2,000. It boasts a rich history, featuring Prague's 15th-century astronomical clock and the 1348 Charles University. The word ""robot"" was introduced by Czech writer Karel ?apek in his 1920 play R.U.R.. Over 70% of the population goes mushroom picking annually.",1,3/11/2026,
7,Denmark,DK,Northern Europe,Kopenhagen,DKK,Danish krone,Danish,"6,019,744","43,094",73.67,Yes,,,"As a parliamentary democracy and constitutional monarchy, it comprises the Jutland peninsula and over 400 islands. Renowned for its welfare state, cycling culture, and design, it has close ties with Greenland and the Faroe Islands.","Denmark is a flat, bicycle-loving, and environmentally conscious Scandinavian country known for being among the world's happiest nations. It features 444 islands (only 76 inhabited), the world's oldest flag, the invention of LEGO and handball, and a monarchy with over 1,000 years of history. The tap water is among the cleanest in the world. Copenhagen harbor is clean enough to swim in. Home to the world's two oldest operating amusement parks: Bakken and Tivoli.",1,3/11/2026,
8,Finland,FI,Northern Europe,Helsinki,EUR,Euro,Finnish,"5,656,394","338,455",73.71,Yes,,,"Finland, located in Northern Europe, is a Nordic nation known for its high quality of life, extensive boreal forests, and over 180,000 lakes. With a population of 5.6 million, it is a stable parliamentary democracy, EU member, and often ranked as the world's happiest country. Helsinki is the capital, while key industries include technology, forestry, and, electronics.","Finland is the world's happiest country, featuring over 3 million saunas (more than cars) and 188,000 lakes. Known as ""Suomi,"" it is famous for having the highest coffee consumption per capita, midnight sun in summer, and the home of Santa Claus in Lapland. The longest, non-compound word in the Finnish language is saippuakivikauppias (a soapstone vendor).",1,3/11/2026,
9,France,fr,Western Europe,Paris,EUR,Euro,French,"66,721,283","643,801",44.18,Yes,,,"France, officially the French Republic, is a major Western European nation known for its profound influence on art, culture, and cuisine. With a population of roughly 69 million, its capital, Paris, serves as a global hub for fashion, food, and history. It is characterized by its ""hexagonal"" shape, diverse landscapes (Alps, Mediterranean coast), and role as a top tourist destination.","France is the world's most visited country and is nicknamed L'Hexagone due to its six-sided shape. Famous for culinary excellence, it produces over 1,600 types of cheese and consumes roughly 30,000 tons of snails annually. Key facts include the Eiffel Tower growing in summer, legal marriage to the deceased, and inventing the metric system. The Lumičre brothers held the first public movie screening in Paris in 1895. A world record for the longest baguette (140.53 meters) was set in 2024.  French was the official language of England for roughly 300 years following 1066. While synonymous with French breakfast, croissants were actually invented in Austria. The French consume approximately 11.2 billion glasses of wine per year.",1,3/11/2026,
10,Germany,DE,Central/Western Europe,Berlin,EUR,euro,German,"83,747,288","357,022",60.96,Yes,,,"Germany (Federal Republic of Germany) is a leading democratic nation in Central Europe with a population of over 83 million, making it the EU's most populous member. Known for its rich history, diverse landscapes—from the northern plains to the southern Alps—and economic strength, it is a key political and industrial power.","Germany has over 300 types of bread and more than 1,200 types of cake, along with 1,500+ types of sausage. Beer is considered a food in Bavaria, and the country is home to the world's oldest brewery, Weihenstephan Abbey, operating since 1040. Germans are the world's top travel spenders and boast over 26,000 football clubs. There are over 25,000 castles and fortresses across Germany. Dog owners must pay a specific tax for owning a dog. Fishing without a license and training course is a criminal offense. Gummy bears, the Christmas tree tradition, and the cuckoo clock originated in Germany. Germany is famous for long compound words, with the longest once being 79 characters.",1,3/11/2026,
11,Greece,GR,Southeast Europe,Athens,EUR,euro,Greek,"9,897,115","131,957",53.8,Yes,,,"Greece, officially the Hellenic Republic, is a Southeastern European nation located on the southern tip of the Balkan peninsula, featuring a mountainous mainland and thousands of Aegean and Ionian islands. Known as the birthplace of Western civilization and democracy, it has a rich history, a population of over 10 million, and Athens as its capital.","Greece is a sunny, mountainous nation with over 6,000 islands (only ~200 inhabited), boasting 300+ days of sun annually. Santorini is an active volcano, with its last eruption in 1950. Greeks often celebrate their ""name day"" (associated with a saint) rather than their birthday. There are over 10,000 traditional Greek dances. Greece has more olive varieties than any other country. High heels are banned at some ancient Greek sites to protect the monuments.",1,3/11/2026,
12,Hungary,,Central Europe,Budapest,HUF,Hungarian forint,Hungarian,"9,601,846","93,030",66.72,Yes,,,"Hungary is a landlocked Central European country, characterized by the Danube River, the Great Plain, and a rich, distinct culture. With Budapest as its capital and largest city, it is known for thermal spas, paprika-driven cuisine, and a unique language (Magyar). Formerly part of the Austro-Hungarian Empire, it is now a parliamentary republic and EU member.","Hungary has more thermal springs than any other European country, with over 1,500 in total and 80+ in Budapest alone. Hungarians invented the Rubik’s Cube (Ern? Rubik), the ballpoint pen (László Bíró), the electric motor, and contributed to the development of the Volkswagen Beetle. Hungarian (Magyar) belongs to the Uralic language family and is not related to neighboring Indo-European languages, making it famously difficult to learn.",1,3/11/2026,
13,Italy,IT,Southern Europe,Rome,EUR,Euro,Italian,"58,926,166","301,340",52.6,Yes,,,"Italy, officially the Italian Republic, is a boot-shaped peninsula in Southern Europe extending into the Mediterranean Sea. Known for its rich history as the heart of the Roman Empire and Renaissance, it is a major cultural hub with a population of nearly 59 million. The country features the Alps to the north, the Apennines running down its center, and major cities like Rome (capital), Milan, and Venice.","The University of Bologna, founded in 1088, is the oldest continuously operating university in the world. Italy contains two tiny independent countries: Vatican City (the world's smallest) and San Marino. Tourists toss approximately €1,000,000 in coins into Rome's Trevi Fountain annually, which is donated to charity. Around 70% of young Italians aged 18–34 still live with their parents. Pizza was invented in Naples around 1860. Mount Etna, Vesuvius, and Stromboli are active, with Etna being Europe's largest.  Italy is credited with inventing the piano, denim jeans, and contributing to the development of the radio and telephone. In some parts of Italy, especially in the south, being late is culturally accepted and expected.",1,3/11/2026,
14,Malta,MT,Southern Mediterranean Sea,Valetta,EUR,Euro,Maltese and English,"574,250",316,56.72,Yes,,,"Malta is a sunny, archipelago nation in the central Mediterranean, located south of Sicily, known for its 7,000-year history, stunning coastline, and strategic importance. As the EU's smallest member state, it features a blend of, Phoenician, Roman, Arab, and British influences. Key attractions include the capital, Valletta, and the islands of Malta, Gozo, and Comino.","Malta's Megalithic Temples are among the oldest free-standing structures on Earth. There are enough churches (359) to visit a different one almost every day of the year. Maltese is a unique language with Arabic, Italian, and English roots. Known as the ""Hollywood of the Mediterranean,"" it has hosted Troy, Gladiator, Popeye, and Game of Thrones. There are more Maltese people living in Australia than in Malta.",1,3/11/2026,
15,Montenegro,ME,Southeastern Europe,Podgorica,EUR,EURO,Montenegrin,"633,158","13,883",65.58,TRUE,,,"Montenegro is a small, diverse Balkan nation on the Adriatic Sea, known for its dramatic mountain scenery, deep canyons (like Tara River), and the stunning, fjord-like Bay of Kotor. Independent since 2006, it features a mix of medieval towns, sandy beaches, and five-star coastal resorts, making it a popular, year-round tourist destination.","The Tara River Canyon is the deepest in Europe and second deepest in the world. The stunning Bay of Kotor is often described as Europe's southernmost fjord. In the town of Bar, there is an olive tree over 2,000 years old. Montenegrins are among the tallest people in the world, with men averaging around 185 cm.  Montenegro, especially Kotor, is famous for its large, friendly, and well-cared-for population of stray cats. A humorous ""Top 10 Rules"" of Montenegrin life exists, jokingly praising laziness, such as ""work brings illness"" and ""when you feel like working, sit down and wait"".",1,3/11/2026,
16,Netherlands,NL,Northwestern Europe,Amsterdam,EUR,Euro,Dutch,"18,427,699","41,850",72.18,TRUE,,,"The Netherlands is a low-lying, densely populated country in Northwestern Europe, known for its, progressive policies, water management systems, and historic canals. With Amsterdam as its capital and The Hague as the seat of government, it is a parliamentary constitutional monarchy famous for tulips, windmills, cycling culture, and renowned painters like Van Gogh and Rembrandt. ","Roughly 26% of the country is below sea level, with some areas dropping as low as five meters below. Over 1,000 historic windmills are still in operation. The highest ""mountain"" is actually a hill called Vaalserberg, measuring only 323 meters. It is the safest country in the world for cycling, with 35,000 km of bike paths. Dutch men are the tallest in the world, with an average height of 1.82 meters. The country produces 75% of the world's flower bulbs. Although carrots were originally purple, white, or yellow, Dutch farmers developed the bright orange version in the 17th century to honor William of Orange.  Amsterdam is the capital, but the government is located in The Hague.",1,3/11/2026,
17,North Macedonia,MK,Southeast Europe,Skopje,MKD,Macedonian denar,Macedonian,1807463,"25,713",58.79,Yes,,,"North Macedonia is a landlocked, mountainous parliamentary republic in the southern Balkans (Southeast Europe) bordering Kosovo, Serbia, Bulgaria, Greece, and Albania. Formerly part of Yugoslavia, it gained independence in 1991, with Skopje as its capital. The country features a diverse, ethnically Macedonian and Albanian population, rich Orthodox history, and a developing, open economy.","The city of Ohrid is famous for having 365 churches, one for every day of the year. The national flag features a yellow sun with eight rays on a red field, representing the ""new sun of liberty"". In 2006, it became the first country in the world to have full, nation-wide access to a wireless internet connection.  In 2019, the country officially changed its name from Macedonia to North Macedonia to resolve a long-standing dispute with Greece. ",1,3/11/2026,
18,Norway,NO,Northern Europe,Oslo,NOK,Norwegian Krone,Norwegian and Sami,5654790,"385,207",66.81,Yes,,,"Norway is a long, mountainous Nordic country in Northern Europe, famous for its dramatic, glacier-carved fjords, the Northern Lights, and midnight sun. With a population of 5.6 million, it is known for a high standard of living, a strong welfare state, and a robust economy driven by oil, gas, and fishing.","t is illegal to die in Svalbard because bodies do not decompose in the permafrost. Additionally, Norwegians famously leave babies to nap outside in prams, even in sub-zero temperatures. The country features over 1,000 fjords and experiences 24-hour daylight in summer (Midnight Sun) and total darkness in winter (Polar Nights) above the Arctic Circle. Despite being a staple, the cheese slicer (ostehřvel) was invented in Norway in 1925. Norway has the world's longest road tunnel, which is 15.3 miles long. Norway is consistently ranked as one of the world's happiest countries.",1,3/11/2026,
19,Poland,PL,Central Europe,Warsaw,PLN,Polish Zloty,Polish,"37,860,250","312,685",71.36,Yes,,,"A resilient nation in Central Europe known for its dramatic history, stunning medieval old towns, and diverse landscapes ranging from Baltic beaches to the Tatra Mountains.","Poland is home to the world’s largest brick castle, Malbork, which was built by the Teutonic Knights. The country boasts one of the world's oldest salt mines, Wieliczka, which contains an entire cathedral carved out of salt deep underground. It is also the global leader in amber production, with the city of Gda?sk often called the ""Amber Capital of the World."" For nature lovers, Poland hosts Europe’s last remaining primeval forest, Bia?owie?a, where the European bison roams free. Interestingly, Poles celebrate ""Name Days"" (imieniny) with almost as much enthusiasm as birthdays, often gifting flowers or sweets. Lastly, Poland’s constitution of 1791 was the first of its kind in Europe and the second in the world after the United States.",1,3/11/2026,
20,Portugal,PL,Southwestern Europe,Lisbon,EUR,Euro,Portuguese,"10,400,680","92,212",66.75,Yes,,,"A maritime nation famous for its Atlantic coastline, soulful Fado music, tiled architecture (Azulejos), and a rich history of global exploration.","Portugal is the world’s largest producer of cork, supplying over 50% of the global market for wine bottle stoppers and fashion accessories. The Bertrand Bookstore in Lisbon, founded in 1732, is officially the oldest operating bookstore in the world. Portugal was a pioneer in human rights, becoming the first colonial power to abolish slavery in 1761, long before many other European nations. The country is also home to the oldest borders in Europe, which have remained virtually unchanged since 1139. Additionally, the famous Japanese cooking style ""tempura"" was actually introduced to Japan by Portuguese sailors in the 16th century. Finally, the westernmost point of continental Europe, Cabo da Roca, offers breathtaking views of the Atlantic Ocean.",1,3/11/2026,
21,Serbia,rs,Southeast Europe,Belgrade,RSD,Serbian dinar,Serbian,"6,654,580","77,474",63.07,No,,,"A vibrant Balkan country known for its high energy, warm hospitality, and a capital city located at the confluence of the Danube and Sava rivers.","Serbia has produced a staggering number of Roman Emperors, with 18 of them being born on what is now Serbian territory. The country is the birthplace of the world’s most expensive cheese, ""Pule,"" which is made from donkey milk and can cost over $1,000 per kilogram. Belgrade is one of the oldest continuously inhabited cities in Europe, having been fought over in 115 wars and razed to the ground 44 times. Serbia is also a global leader in agriculture, consistently ranking as one of the top exporters of raspberries in the world. The legendary scientist Nikola Tesla was of Serbian descent, and his legacy is preserved in a dedicated museum in the heart of the capital. A unique local tradition involves ""Slava,"" a family patron saint day that is so culturally significant it is protected by UNESCO.",1,3/11/2026,
22,Slovenia,SI,Central and Southeast Europe,Ljubljana,EUR,Euro,Slovenian,"2,126,324","20,271",75.5,Yes,,,"A small but incredibly diverse ""green"" country featuring jagged Alpine peaks, emerald-green lakes, and a tiny but beautiful Mediterranean coastline.","Slovenia is one of the most forested countries in Europe, with over 60% of its land covered in lush greenery and woods. It is a nation of beekeepers, where there is approximately one beekeeper for every 200 people, and the Carniolan honeybee is a protected national treasure. The city of Maribor is home to the ""Old Vine,"" which at over 400 years old is the oldest living and fruit-bearing grapevine in the world. Slovenia is so geographically diverse that you can ski in the mountains in the morning and swim in the Adriatic Sea in the afternoon. It is the only country in the world with the word ""LOVE"" hidden in its name (S-LOVE-nia), a fact locals are very proud of. Furthermore, the country has over 10,000 caves, including Postojna, which has its own underground post office and a unique ""human fish"" salamander.",1,3/11/2026,
23,Spain ,ES,Southwestern Europe,Madrid,EUR,Euro,Spanish,"48,592,909","505,983",62.07,Yes,,,"A passionate and culturally diverse kingdom celebrated for its sun-soaked beaches, historic Moorish architecture, and world-famous gastronomy like tapas and paella.","Spain is the world’s leading producer of olive oil, accounting for nearly half of the entire global supply, mostly from the region of Andalusia. The ""Sobrino de Botín"" in Madrid is recognized by Guinness World Records as the oldest continuously operating restaurant in the world, serving customers since 1725. Unlike most countries, Spain’s national anthem, ""Marcha Real,"" has no official lyrics, meaning it is only hummed or played as a melody. Spain is also the only European country to share a physical land border with an African country via its autonomous cities of Ceuta and Melilla. Every year, the town of Buńol hosts ""La Tomatina,"" the world's largest food fight where participants throw thousands of tons of tomatoes at each other. Finally, Spain has the second-highest number of UNESCO World Heritage Sites in Europe, reflecting its deep historical influence.",1,3/11/2026,
24,Sweden ,SE,Northern Europe,Stockholm,SEK,Swedish krona,Swedish,"10,582,576","450,295",52.16,Yes,,,"A leader in innovation and sustainability, Sweden is known for its vast forests, archipelago islands, and the ""Lagom"" philosophy of balanced living.","Sweden is so efficient at recycling that it actually runs out of garbage and has to import trash from other countries to keep its waste-to-energy plants running. The country officially owns the most islands in the world, with over 267,000 islands along its rugged coastline. A unique law called ""Allemansrätten"" (The Right of Public Access) allows anyone to walk, cycle, or camp on any land, as long as they don't disturb the owner. Sweden is the birthplace of the Nobel Prize, with the ceremonies held annually in Stockholm to honor global achievements in science and literature. Swedes are among the world's top coffee drinkers, often practicing ""Fika,"" a mandatory daily break for coffee, treats, and socializing. Also, the first-ever Icehotel was built in the Swedish village of Jukkasjärvi, and it is rebuilt from scratch every single winter.",1,3/11/2026,
25,Switzerland,ch,Central Europe,Bern,CHF,Swiss franc,"German, French, Italian and Romansh","8,962,300","41,291",72.61,Yes,,,"A neutral, mountainous nation famous for its precision watches, banking, high-quality chocolate, and the stunning scenery of the Swiss Alps.","Switzerland is one of the only countries in the world with a square-shaped national flag, rather than the traditional rectangle. The country has enough nuclear fallout shelters to accommodate its entire population of 8.9 million people in the event of a global catastrophe. It is illegal to own just one social animal, like a guinea pig or a parrot, because it is considered animal cruelty to keep them lonely. Despite being landlocked, Switzerland has an incredibly successful yachting team and one of the largest merchant navies in the world. The Swiss are world champions in chocolate consumption, eating an average of 11 kilograms per person every year. Interestingly, the country has no single official ""capital"" city defined by law, though Bern serves as the administrative seat of the government.",1,3/11/2026,
26,United Kingdom,UK,Northwestern Europe,London,GBP,British pound,English,"67,326,569","244,376",51.79,Yes,,,"An influential union of four countries (England, Scotland, Wales, Northern Ireland) known for its monarchy, global language, and historical landmarks.","The UK is the only country in the world that does not have its name printed on its postage stamps, as it was the first country to ever use them. London’s subway system, known as ""The Tube,"" opened in 1863 and is the oldest underground railway network on the planet. The British are obsessed with tea, drinking over 165 million cups every day—enough to fill about 20 Olympic-sized swimming pools. Windsor Castle is the oldest and largest inhabited castle in the world, having served as a royal residence for over 900 years. In a quirky historical twist, French was the official language of England for nearly 300 years following the Norman Conquest in 1066. Additionally, the mythical Unicorn is actually the national animal of Scotland, symbolizing purity, nobility, and untamed power.",1,3/11/2026,
