food_id,country_id,food_name,food_category,is_vegetarian,is_spicy,main_ingredients,short_description,avg_price,currency,popularity,created_at,updated_at
101,1 (AL),Tavļ Kosi,Main Dish,No,No,"Lamb, Yogurt",Baked lamb and rice with a yogurt-egg topping.,800,ALL,9.5,3/11/2026,
102,1 (AL),Byrek,Street Food,Yes/No,No,"Filo, Spinach/Cheese",Traditional savory pie with flaky pastry layers.,60,ALL,9.8,3/11/2026,
102,1 (AL),Borek,Street Food,Yes/No,No,"Filo, Spinach/Cheese",Traditional savory pie with flaky pastry layers.,60,ALL,9.8,3/11/2026,
103,1 (AL),Fļrgesļ,Main Dish,Yes/No,No,"Peppers, Tomatoes, Curd",Summer stew with cottage cheese and vegetables.,500,ALL,8.7,3/11/2026,
104,1 (AL),Flija,Main Dish,Yes,No,"Flour, Water, Cream",Multi-layered pancake cooked outdoors over fire.,650,ALL,8.2,3/11/2026,
105,1 (AL),Trilece,Dessert,Yes,No,3 types of Milk,Soft sponge cake soaked in milk and caramel.,250,ALL,9.1,3/11/2026,
106,1 (AL),Raki,Drink,Yes,No,Grapes/Plums,Strong traditional distilled fruit spirit.,150,ALL,9.4,3/11/2026,
201,2 (AT),Wiener Schnitzel,Main Dish,No,No,"Veal, Breadcrumbs","Thin, breaded and pan-fried veal cutlet.",18,EUR,9.9,3/11/2026,
202,2 (AT),Sachertorte,Dessert,Yes,No,"Chocolate, Apricot",Famous dense chocolate cake with apricot jam.,8,EUR,9.6,3/11/2026,
203,2 (AT),Apfelstrudel,Dessert,Yes,No,"Apple, Cinnamon",Flaky pastry stuffed with spiced apple filling.,6,EUR,9.5,3/11/2026,
204,2 (AT),Kõsekrainer,Street Food,No,Yes,"Sausage, Cheese",Smoked sausage filled with small cheese chunks.,5,EUR,8.8,3/11/2026,
205,2 (AT),Tafelspitz,Main Dish,No,No,"Beef, Vegetables",Boiled beef served with apple-horseradish sauce.,22,EUR,8.4,3/11/2026,
206,2 (AT),Almdudler,Drink,Yes,No,Alpine Herbs,Iconic carbonated herbal soft drink.,3,EUR,8.9,3/11/2026,
301,3 (BE),Moules-Frites,Main Dish,No,No,"Mussels, Potatoes",Steamed mussels served with classic Belgian fries.,24,EUR,9.4,3/11/2026,
302,3 (BE),Carbonnade Flamande,Main Dish,No,No,"Beef, Dark Beer",Sweet-savory beef stew braised in Belgian beer.,20,EUR,9.1,3/11/2026,
303,3 (BE),Belgian Waffle,Street Food,Yes,No,"Dough, Sugar","Thick, sweet waffle with deep square pockets.",4,EUR,9.8,3/11/2026,
304,3 (BE),Speculoos,Dessert,Yes,No,"Spices, Flour",Traditional spiced shortcrust biscuit.,2,EUR,9.2,3/11/2026,
305,3 (BE),Pralines,Dessert,Yes,No,"Chocolate, Hazelnut",High-quality filled chocolate candies.,15,EUR,9.7,3/11/2026,
306,3 (BE),Trappist Beer,Drink,Yes,No,"Hops, Yeast",World-renowned beer brewed in monasteries.,6,EUR,9.6,3/11/2026,
401,4 (BA),?evapi,Main Dish,No,No,"Beef/Lamb, Onion",Small grilled meat sausages served in lepinja bread.,10,BAM,9.9,3/11/2026,
402,4 (BA),Burek,Street Food,No,No,"Meat, Filo",Coiled meat pie made with thin flaky dough.,4,BAM,9.8,3/11/2026,
403,4 (BA),Klepe,Main Dish,No,No,"Minced Meat, Dough",Bosnian style meat dumplings with garlic sauce.,12,BAM,8.7,3/11/2026,
404,4 (BA),Tufahija,Dessert,Yes,No,"Apple, Walnut, Cream",Poached apple filled with walnuts and syrup.,6,BAM,8.5,3/11/2026,
405,4 (BA),Begova ?orba,Main Dish,No,No,"Chicken, Okra","Bey's Soup, a creamy chicken and vegetable soup.",8,BAM,8.8,3/11/2026,
406,4 (BA),Bosnian Coffee,Drink,Yes,No,Coffee Beans,"Strong, thick coffee served in a dzezva pot.",3,BAM,9.7,3/11/2026,
501,5 (HR),Peka,Main Dish,No,No,"Meat, Vegetables",Slow-cooked meat and veg under a bell-like lid.,25,EUR,9.3,3/11/2026,
502,5 (HR),Crni Ri×ot,Main Dish,No,No,"Cuttlefish, Ink",Black risotto made with cuttlefish ink.,18,EUR,9.1,3/11/2026,
503,5 (HR),?evap?i?i,Street Food,No,No,Beef/Pork,Grilled meat rolls served with ajvar and onion.,10,EUR,9.5,3/11/2026,
504,5 (HR),KremÜnita,Dessert,Yes,No,"Custard, Puff Pastry",Custard and chantilly cream cake.,4,EUR,9,3/11/2026,
505,5 (HR),Soparnik,Street Food,Yes,No,"Chard, Garlic",Savory pie with swiss chard and olive oil.,3,EUR,8.2,3/11/2026,
506,5 (HR),Rakija,Drink,Yes,No,Fruit,Strong fruit brandy (Travarica or Loza).,3,EUR,9.4,3/11/2026,
601,6 (CZ),SvĒ?kovß,Main Dish,No,No,"Beef, Root Veg, Cream",Sirloin steak in vegetable cream sauce with jam.,16,EUR,9.5,3/11/2026,
602,6 (CZ),GulßÜ,Main Dish,No,No,"Beef, Onions, Paprika","Thick, hearty stew served with bread dumplings.",14,EUR,9.4,3/11/2026,
603,6 (CZ),TrdelnĒk,Street Food,Yes,No,"Dough, Cinnamon",Spit cake made of rolled dough with sugar.,5,EUR,9.7,3/11/2026,
604,6 (CZ),KnedlĒky,Side Dish,Yes,No,Flour/Potato,Traditional dumplings used to soak up sauces.,4,EUR,9,3/11/2026,
605,6 (CZ),Vep?o Knedlo Zelo,Main Dish,No,No,"Pork, Dumplings",Roast pork with dumplings and sauerkraut.,15,EUR,8.9,3/11/2026,
606,6 (CZ),Pilsner Beer,Drink,Yes,No,"Hops, Barley",World-famous golden lager born in Plze?.,3,EUR,9.9,3/11/2026,
701,7 (DK),Sm°rrebr°d,Main Dish,Yes/No,No,"Rye Bread, Toppings",Famous Danish open-faced sandwiches., ,EUR,9.6,3/11/2026,
702,7 (DK),Flµskesteg,Main Dish,No,No,"Pork, Crackling",Roast pork with crispy skin and red cabbage.,20,EUR,8.8,3/11/2026,
703,7 (DK),P°lser,Street Food,No,No,"Sausage, Remoulade",Danish hot dog with crispy onions and pickles.,5,EUR,9.3,3/11/2026,
704,7 (DK),Wienerbr°d,Dessert,Yes,No,"Pastry, Marzipan","Known globally as ""Danish Pastry"".",3,EUR,9.5,3/11/2026,
705,7 (DK),Ųbleskiver,Dessert,Yes,No,"Dough, Jam",Sphere-shaped pancakes dusted with sugar.,6,EUR,8.4,3/11/2026,
706,7 (DK),Akvavit,Drink,Yes,No,"Grain, Herbs",Strong spirit flavored with caraway or dill.,5,EUR,8.2,3/11/2026,
801,8 (FI),Karjalanpiirakka,Street Food,Yes,No,"Rye, Rice Porridge",Karelian pasty with a thin rye crust.,2,EUR,9.2,3/11/2026,
802,8 (FI),Poronkõristys,Main Dish,No,No,Sautķed Reindeer,Reindeer meat served with mashed potatoes.,25,EUR,8.7,3/11/2026,
803,8 (FI),Leipõjuusto,Dessert,Yes,No,Cow's Milk Cheese,Squeaky cheese served with cloudberry jam.,8,EUR,8.9,3/11/2026,
804,8 (FI),Lohikeitto,Main Dish,No,No,"Salmon, Potatoes",Creamy salmon soup with fresh dill.,15,EUR,9.4,3/11/2026,
805,8 (FI),Korvapuusti,Dessert,Yes,No,"Cinnamon, Cardamom",Finnish-style large cinnamon buns.,4,EUR,9.5,3/11/2026,
806,8 (FI),Lonkero,Drink,Yes,No,"Gin, Grapefruit",Long Drink - gin and grapefruit soda.,6,EUR,9.1,3/11/2026,
901,9 (FR),Coq au Vin,Main Dish,No,No,"Chicken, Red Wine",Chicken braised with wine and mushrooms.,25,EUR,9.4,3/11/2026,
902,9 (FR),Ratatouille,Main Dish,Yes,No,"Eggplant, Zucchini",Traditional Provenńal stewed vegetables.,18,EUR,9,3/11/2026,
903,9 (FR),Macarons,Dessert,Yes,No,"Almond, Egg Whites",Delicate sweet meringue sandwich cookies.,3,EUR,9.8,3/11/2026,
904,9 (FR),Croissant,Street Food,Yes,No,"Butter, Flour","Flaky, buttery crescent-shaped pastry.",1.5,EUR,9.9,3/11/2026,
905,9 (FR),CrĻpe,Street Food,Yes,No,"Flour, Milk, Eggs",Thin pancake with sweet or savory fillings.,6,EUR,9.7,3/11/2026,
906,9 (FR),Champagne,Drink,Yes,No,Grapes,World-famous sparkling wine.,15,EUR,9.8,3/11/2026,
1001,10 (DE),Currywurst,Street Food,No,Yes,"Sausage, Curry Sauce",Fried sausage with curried ketchup.,5,EUR,9.7,3/11/2026,
1002,10 (DE),Schnitzel,Main Dish,No,No,Pork/Veal,Breaded and fried meat cutlet., ,EUR,9.8,3/11/2026,
1003,10 (DE),Brezel,Street Food,Yes,No,"Dough, Salt","Large, soft knotted pretzel.",2,EUR,9.6,3/11/2026,
1004,10 (DE),Sauerbraten,Main Dish,No,No,"Beef, Vinegar, Spices",Pot roast marinated in vinegar before cooking.,22,EUR,8.5,3/11/2026,
1005,10 (DE),Schwarzwõlder,Dessert,Yes,No,"Chocolate, Cherry",Black Forest cherry cake with whipped cream.,6,EUR,9.4,3/11/2026,
1006,10 (DE),Hefeweizen,Drink,Yes,No,"Wheat, Yeast","Cloudy, refreshing German wheat beer.",5,EUR,9.5,3/11/2026,
1101,11 (GR),Moussaka,Main Dish,No,No,"Eggplant, Meat",Layered dish with meat and bķchamel sauce.,14,EUR,9.8,3/11/2026,
1102,11 (GR),Gyros,Street Food,No,No,Pork/Chicken,Meat cooked on a vertical rotisserie in pita.,5,EUR,9.9,3/11/2026,
1103,11 (GR),Souvlaki,Street Food,No,No,Meat Skewers,Small pieces of meat grilled on a skewer.,3,EUR,9.7,3/11/2026,
1104,11 (GR),Baklava,Dessert,Yes,No,"Nuts, Honey, Filo",Sweet pastry made of layers of filo and nuts.,5,EUR,9.6,3/11/2026,
1105,11 (GR),Choriatiki,Side Dish,Yes,No,"Feta, Cucumber",Famous Greek salad with olives and oil.,8,EUR,9.5,3/11/2026,
1106,11 (GR),Ouzo,Drink,Yes,No,Anise,Anise-flavored dry aperitif.,4,EUR,9.2,3/11/2026,
1201,12 (HU),Goulash,Main Dish,No,Yes,"Beef, Paprika",Famous stew with meat and vegetables.,12,EUR,9.9,3/11/2026,
1202,12 (HU),Lßngos,Street Food,Yes,No,"Fried Dough, Garlic",Deep-fried flatbread with sour cream and cheese.,5,EUR,9.6,3/11/2026,
1203,12 (HU),Chicken Paprikash,Main Dish,No,No,"Chicken, Paprika",Chicken in a creamy red pepper sauce.,14,EUR,9.1,3/11/2026,
1204,12 (HU),K³rt?skalßcs,Street Food,Yes,No,"Dough, Sugar",Chimney cake roasted over charcoal.,6,EUR,9.5,3/11/2026,
1205,12 (HU),Dobos Torte,Dessert,Yes,No,"Chocolate, Caramel",Layer cake with chocolate and caramel top.,5,EUR,8.8,3/11/2026,
1206,12 (HU),Tokaji Asz·,Drink,Yes,No,Grapes,Renowned sweet dessert wine.,10,EUR,9.2,3/11/2026,
1301,13 (IT),Pizza Margherita,Main Dish,Yes,No,"Tomato, Mozzarella","Simple pizza with basil, tomato, and cheese.",10,EUR,10,3/11/2026,
1302,13 (IT),Lasagna,Main Dish,No,No,"Pasta, Meat Ragu",Layered pasta with meat and bķchamel.,15,EUR,9.9,3/11/2026,
1303,13 (IT),Gelato,Dessert,Yes,No,"Milk, Cream",Authentic Italian style ice cream.,4,EUR,9.9,3/11/2026,
1304,13 (IT),Tiramisu,Dessert,Yes,No,"Coffee, Mascarpone",Coffee-flavored Italian dessert., ,EUR,9.8,3/11/2026,
1305,13 (IT),Carbonara,Main Dish,No,No,"Eggs, Pecorino",Pasta with guanciale and creamy egg sauce.,14,EUR,9.7,3/11/2026,
1306,13 (IT),Espresso,Drink,Yes,No,Coffee Beans,Strong concentrated black coffee.,1.5,EUR,9.9,3/11/2026,
1401,14 (MT),Pastizzi,Street Food,Yes/No,No,Pea/Ricotta Filo,Savory flaky pastry filled with peas or cheese.,0.5,EUR,9.8,3/11/2026,
1402,14 (MT),Fenek Moqli,Main Dish,No,No,"Rabbit, Garlic",Fried rabbit marinated in wine and garlic.,18,EUR,9.2,3/11/2026,
1403,14 (MT),Ftira,Street Food,Yes/No,No,Sourdough Bread,Traditional ring-shaped leavened bread.,6,EUR,9,3/11/2026,
1404,14 (MT),Imqaret,Street Food,Yes,No,"Dates, Dough",Deep-fried diamond-shaped date pastries.,2,EUR,8.7,3/11/2026,
1405,14 (MT),Aljotta,Main Dish,No,No,"Fish, Tomato, Garlic",Traditional Maltese fish soup.,12,EUR,8.1,3/11/2026,
1406,14 (MT),Kinnie,Drink,Yes,No,"Orange, Herbs",Bitter-sweet herbal orange carbonated soda.,2,EUR,8.8,3/11/2026,
1501,15 (ME),NjeguÜki PrÜut,Appetizer,No,No,Cured Pork,Dry-cured ham from the NjeguÜi region.,10,EUR,9.6,3/11/2026,
1502,15 (ME),Ka?amak,Main Dish,Yes,No,"Cornmeal, Cheese","Thick, creamy porridge with potatoes/cheese.",12,EUR,8.9,3/11/2026,
1503,15 (ME),Black Risotto,Main Dish,No,No,"Squid Ink, Rice",Risotto made with cuttlefish ink.,16,EUR,9.2,3/11/2026,
1504,15 (ME),Buzara,Main Dish,No,No,"Shellfish, Garlic",Seafood cooked in white wine and herbs.,20,EUR,8.7,3/11/2026,
1505,15 (ME),Priganice,Street Food,Yes,No,"Fried Dough, Honey",Fritters served with honey or cheese.,5,EUR,8.5,3/11/2026,
1506,15 (ME),Vranac Wine,Drink,Yes,No,Grapes,Iconic Montenegrin red wine.,7,EUR,9.3,3/11/2026,
1601,16 (NL),Stroopwafel,Street Food,Yes,No,"Waffle, Syrup",Two thin wafers with caramel syrup inside.,2,EUR,9.8,3/11/2026,
1602,16 (NL),Bitterballen,Street Food,No,No,"Beef, Flour",Deep-fried savory meat-based balls., ,EUR,9.4,3/11/2026,
1603,16 (NL),Herring,Street Food,No,No,"Raw Herring, Onion",Raw fish served with onions and pickles.,4,EUR,8.5,3/11/2026,
1604,16 (NL),Stamppot,Main Dish,No,No,"Potato, Sausage",Mashed potatoes with vegetables and sausage.,15,EUR,8.9,3/11/2026,
1605,16 (NL),Poffertjes,Dessert,Yes,No,Mini Pancakes,"Small, fluffy pancakes with butter and sugar.",6,EUR,9.3,3/11/2026,
1606,16 (NL),Heineken,Drink,Yes,No,"Hops, Water",Globally famous Dutch pale lager.,4,EUR,9.5,3/11/2026,
1701,17 (MK),Tav?e Grav?e,Main Dish,Yes,No,"Beans, Paprika",Baked beans in a traditional clay pot.,6,EUR,9.7,3/11/2026,
1702,17 (MK),Ajvar,Side Dish,Yes,No,Red Peppers,Roasted red pepper and eggplant spread.,4,EUR,9.8,3/11/2026,
1703,17 (MK),Pastrmajlija,Main Dish,No,No,"Dough, Meat",Bread pie with dried meat cubes and fat.,8,EUR,9.4,3/11/2026,
1704,17 (MK),Turli Tava,Main Dish,No,No,"Vegetables, Lamb",Mixed vegetable and meat stew in clay.,10,EUR,8.6,3/11/2026,
1705,17 (MK),Baklava,Dessert,Yes,No,"Nuts, Syrup",Traditional sweet syrup-soaked pastry.,3,EUR,9.2,3/11/2026,
1706,17 (MK),Mastika,Drink,Yes,No,"Anise, Grapes",Strong anise-flavored liquor.,4,EUR,8.9,3/11/2026,
1801,18 (NO),FÕrikÕl,Main Dish,No,No,"Lamb, Cabbage",Mutton and cabbage stew (National dish).,22,EUR,9,3/11/2026,
1802,18 (NO),Gravlaks,Appetizer,No,No,"Salmon, Dill","Salmon cured in salt, sugar, and dill.",18,EUR,9.2,3/11/2026,
1803,18 (NO),Kj°ttkaker,Main Dish,No,No,Minced Meat,Norwegian meatballs in brown gravy.,19,EUR,9.3,3/11/2026,
1804,18 (NO),Brunost,Side Dish,Yes,No,"Whey, Milk",Iconic brown cheese with caramel taste.,8,EUR,9.5,3/11/2026,
1805,18 (NO),Rakfisk,Main Dish,No,No,Fermented Trout,Fermented fish eaten with flatbread.,25,EUR,7.2,3/11/2026,
1806,18 (NO),Aquavit,Drink,Yes,No,Potato spirit,Traditional spirit flavored with spices.,10,EUR,8.9,3/11/2026,
1901,19 (PL),Pierogi,Main Dish,Yes/No,No,"Dough, Filling","Dumplings with meat, cheese, or fruit.",8,EUR,9.9,3/11/2026,
1902,19 (PL),Bigos,Main Dish,No,No,"Cabbage, Meat",Hunter's Stew with various meats.,12,EUR,9.4,3/11/2026,
1903,19 (PL),Zapiekanka,Street Food,Yes/No,No,"Baguette, Cheese",Open-faced toasted sandwich.,4,EUR,9.6,3/11/2026,
1904,19 (PL),?urek,Main Dish,No,No,"Sour Rye, Egg",Sour rye soup with sausage and egg.,7,EUR,9.1,3/11/2026,
1905,19 (PL),P?czki,Dessert,Yes,No,"Dough, Jam",Traditional deep-fried Polish donuts.,2,EUR,9.5,3/11/2026,
1906,19 (PL),?ubr¾wka,Drink,Yes,No,Bison Grass,Bison grass flavored vodka.,15,EUR,9.7,3/11/2026,
2001,20 (PT),Bacalhau,Main Dish,No,No,Salted Cod,Dried and salted cod (over 365 recipes).,18,EUR,9.8,3/11/2026,
2002,20 (PT),Pastel de Nata,Dessert,Yes,No,"Custard, Pastry",Iconic Portuguese custard tart.,1.5,EUR,9.9,3/11/2026,
2003,20 (PT),Francesinha,Main Dish,No,Yes,"Meat, Cheese, Beer",Hearty sandwich with special beer sauce.,14,EUR,9.5,3/11/2026,
2004,20 (PT),Caldo Verde,Main Dish,No,No,"Cabbage, Potato",Green soup with kale and chorizo.,6,EUR,9,3/11/2026,
2005,20 (PT),Bifana,Street Food,No,No,"Pork, Garlic",Marinated pork sandwich.,4,EUR,9.3,3/11/2026,
2006,20 (PT),Port Wine,Drink,Yes,No,Grapes,Famous fortified wine from Porto.,6,EUR,9.7,3/11/2026,
2101,21 (RS),Sarma,Main Dish,No,No,"Cabbage, Meat",Minced meat rolled in fermented cabbage.,10,EUR,9.8,3/11/2026,
2102,21 (RS),Kara?or?eva,Main Dish,No,No,"Pork, Cream",Breaded veal or pork roll with kaymak.,15,EUR,9.4,3/11/2026,
2103,21 (RS),Pljeskavica,Street Food,No,No,Meat Patty,Grilled spiced meat patty (Serbian burger).,6,EUR,9.7,3/11/2026,
2104,21 (RS),Gibanica,Main Dish,Yes,No,"Cheese, Filo",Traditional multi-layered cheese pie.,5,EUR,9.2,3/11/2026,
2105,21 (RS),Kaymak,Side Dish,Yes,No,Milk Cream,Rich unripened dairy cream., ,EUR,9.6,3/11/2026,
2106,21 (RS),Rakija,Drink,Yes,No,Plum (Ŗljiva),Strong fruit brandy (National drink).,3,EUR,9.9,3/11/2026,
2201,22 (SI),Kranjska Klobasa,Main Dish,No,No,"Pork, Garlic",Carniolan sausage (protected heritage).,12,EUR,9.3,3/11/2026,
2202,22 (SI),Potica,Dessert,Yes,No,"Dough, Walnuts",Traditional nut roll festive cake.,6,EUR,9.5,3/11/2026,
2203,22 (SI),Bled Cream Cake,Dessert,Yes,No,"Custard, Cream",Famous Kremna rezina from Lake Bled.,5,EUR,9.7,3/11/2026,
2204,22 (SI),Jota,Main Dish,No,No,"Bean, Sauerkraut",Thick stew with beans and bacon.,10,EUR,8.8,3/11/2026,
2205,22 (SI),Ŗtruklji,Main Dish,Yes/No,No,"Dough, Filling",Rolled dumplings with various fillings.,8,EUR,9,3/11/2026,
2206,22 (SI),Teran Wine,Drink,Yes,No,Grapes,Dark red wine from the Karst region.,8,EUR,8.9,3/11/2026,
2301,23 (ES),Paella,Main Dish,No,No,"Rice, Saffron",Saffron rice with seafood or meat.,16,EUR,10,3/11/2026,
2302,23 (ES),Gazpacho,Main Dish,Yes,No,"Tomato, Cucumber",Cold refreshing tomato soup.,6,EUR,9.2,3/11/2026,
2303,23 (ES),Tapas,Appetizer,Yes/No,No,"Bread, Toppings",Variety of small savory appetizers.,4,EUR,9.9,3/11/2026,
2304,23 (ES),Churros,Dessert,Yes,No,Fried Dough,Fried dough sticks with hot chocolate.,5,EUR,9.7,3/11/2026,
2305,23 (ES),Jam¾n Ibķrico,Appetizer,No,No,Cured Pork,World's best dry-cured ham.,15,EUR,9.8,3/11/2026,
2306,23 (ES),Sangria,Drink,Yes,No,"Wine, Fruit",Wine-based punch with chopped fruit.,5,EUR,9.6,3/11/2026,
2401,24 (SE),Meatballs,Main Dish,No,No,"Beef, Lingonberry",Served with cream sauce and berries.,15,EUR,9.8,3/11/2026,
2401,24 (SE),Meat balls,Main Dish,No,No,"Beef, Lingonberry",Served with cream sauce and berries.,15,EUR,9.8,3/11/2026,
2402,24 (SE),Gravlax,Appetizer,No,No,Cured Salmon,Salt and dill-cured salmon slices.,18,EUR,9.4,3/11/2026,
2403,24 (SE),Sm÷rgÕstÕrta,Main Dish,No,No,"Bread, Shrimp","Savory ""sandwich cake"" with layers.",12,EUR,8.5,3/11/2026,
2404,24 (SE),Kanelbulle,Dessert,Yes,No,"Cinnamon, Cardamom",Famous Swedish cinnamon bun.,4,EUR,9.7,3/11/2026,
2405,24 (SE),Princess Cake,Dessert,Yes,No,"Marzipan, Cream",Layered cake topped with green marzipan.,6,EUR,9.1,3/11/2026,
2406,24 (SE),Snaps,Drink,Yes,No,"Spices, Spirit",Flavored vodka used in celebrations.,8,EUR,8.8,3/11/2026,
2501,25 (CH),Fondue,Main Dish,Yes,No,"Cheese, Wine",Melted cheese for dipping bread.,25,EUR,9.8,3/11/2026,
2502,25 (CH),Raclette,Main Dish,Yes,No,"Cheese, Potato",Melted cheese scraped onto potatoes.,22,EUR,9.6,3/11/2026,
2503,25 (CH),R÷sti,Main Dish,Yes,No,"Potatoes, Butter",Crispy fried grated potato pancake.,18,EUR,9.4,3/11/2026,
2504,25 (CH),Z³rcher Geschn.,Main Dish,No,No,"Veal, Mushroom",Veal strips in a white cream sauce.,28,EUR,9.1,3/11/2026,
2505,25 (CH),Chocolate,Dessert,Yes,No,"Milk, Cocoa",World-famous Swiss milk chocolate.,10,EUR,9.9,3/11/2026,
2506,25 (CH),Rivella,Drink,Yes,No,Milk Whey,Milk-whey based carbonated drink.,4,EUR,8.7,3/11/2026,
2601,26 (UK),Fish and Chips,Main Dish,No,No,"Cod, Potatoes",Deep-fried battered fish and fries.,12,GBP,9.9,3/11/2026,
2602,26 (UK),Shepherd's Pie,Main Dish,No,No,"Lamb, Potato",Ground lamb topped with mashed potato.,15,GBP,9.4,3/11/2026,
2603,26 (UK),Full English,Main Dish,No,No,"Bacon, Egg, Bean",Traditional hearty hot breakfast.,11,GBP,9.7,3/11/2026,
2604,26 (UK),Sunday Roast,Main Dish,No,No,"Beef, Yorkshires",Roasted meat served with vegetables.,18,GBP,9.5,3/11/2026,
2605,26 (UK),Scones,Dessert,Yes,No,"Flour, Cream, Jam",Baked treats served with clotted cream.,6,GBP,9.3,3/11/2026,
2606,26 (UK),Black Tea,Drink,Yes,No,"Tea leaves, Milk",National beverage usually with milk.,3,GBP,9.9,3/11/2026,
